****************
timestamp: 2023-12-12 21:01:43.188414
initializing training...
device: cuda
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v9
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 3.03it/s	 time: 0:00:33~1:05:27	 loss: 516.89>20.187	 lr: 3.474e-05 ▲
[200/12001]	 3.175it/s	 time: 0:01:03~1:01:57	 loss: 190.382>19.343	 lr: 5.924e-05 ▲
[300/12001]	 3.191it/s	 time: 0:01:34~1:01:06	 loss: 35.539>19.299	 lr: 8.375e-05 ▲
[400/12001]	 3.2it/s	 time: 0:02:05~1:00:25	 loss: 21.003>18.058	 lr: 0.00010824 ▲
[500/12001]	 3.226it/s	 time: 0:02:35~0:59:25	 loss: 20.781>16.721	 lr: 0.00013275 ▲
[600/12001]	 3.243it/s	 time: 0:03:05~0:58:34	 loss: 18.383>15.055	 lr: 0.00015724 ▲
[700/12001]	 3.256it/s	 time: 0:03:35~0:57:50	 loss: 16.779>13.74	 lr: 0.00018174 ▲
[800/12001]	 3.252it/s	 time: 0:04:06~0:57:24	 loss: 15.163>13.338	 lr: 0.00020625 ▲
[900/12001]	 3.249it/s	 time: 0:04:37~0:56:56	 loss: 15.476>12.409	 lr: 0.00023074 ▲
[1000/12001]	 3.247it/s	 time: 0:05:08~0:56:28	 loss: 12.967>11.02	 lr: 0.00025524 ▲
model [cowboy16_iso2_v9_cp1000] saved to _checkpoints...
[1100/12001]	 3.245it/s	 time: 0:05:39~0:55:59	 loss: 12.547>11.02	 lr: 0.00027975 ▲
[1200/12001]	 3.261it/s	 time: 0:06:08~0:55:12	 loss: 12.442>11.02	 lr: 0.00030425 ▲
[1300/12001]	 3.258it/s	 time: 0:06:39~0:54:44	 loss: 11.734>10.432	 lr: 0.00032875 ▲
[1400/12001]	 3.263it/s	 time: 0:07:09~0:54:08	 loss: 11.609>10.432	 lr: 0.00035324 ▲
[1500/12001]	 3.268it/s	 time: 0:07:39~0:53:33	 loss: 11.225>9.875	 lr: 0.00037774 ▲
[1600/12001]	 3.265it/s	 time: 0:08:10~0:53:04	 loss: 11.092>9.875	 lr: 0.00040224 ▲
[1700/12001]	 3.269it/s	 time: 0:08:40~0:52:30	 loss: 10.821>9.717	 lr: 0.00042675 ▲
[1800/12001]	 3.267it/s	 time: 0:09:11~0:52:02	 loss: 10.873>9.717	 lr: 0.00045125 ▲
[1900/12001]	 3.27it/s	 time: 0:09:41~0:51:28	 loss: 10.564>9.244	 lr: 0.00047574 ▲
