****************
timestamp: 2024-01-30 20:05:34.800748
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: cowboy16_quat_v1
type: 2
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 20001 epochs...
[100/20001]	 0.295it/s	 time: 0:05:39~18:44:21	 loss: 7271.471>18.075	 lr: 3.474e-05 ▲
[200/20001]	 0.292it/s	 time: 0:11:24~18:48:36	 loss: 831.934>15.936	 lr: 5.924e-05 ▲
[300/20001]	 0.275it/s	 time: 0:18:09~19:51:51	 loss: 3420.892>15.936	 lr: 8.375e-05 ▲
[400/20001]	 0.282it/s	 time: 0:23:37~19:17:13	 loss: 8100.632>15.936	 lr: 0.00010824 ▲
[500/20001]	 0.286it/s	 time: 0:29:09~18:56:51	 loss: 102.467>15.936	 lr: 0.00013275 ▲
[600/20001]	 0.286it/s	 time: 0:34:55~18:48:58	 loss: 471.748>15.936	 lr: 0.00015724 ▲
[700/20001]	 0.286it/s	 time: 0:40:51~18:46:17	 loss: 71.552>15.308	 lr: 0.00018174 ▲
[800/20001]	 0.287it/s	 time: 0:46:31~18:36:23	 loss: 543.417>14.273	 lr: 0.00020625 ▲
[900/20001]	 0.286it/s	 time: 0:52:28~18:33:27	 loss: 759.622>13.599	 lr: 0.00023074 ▲
[1000/20001]	 0.285it/s	 time: 0:58:33~18:32:27	 loss: 443.66>12.369	 lr: 0.00025524 ▲
[1100/20001]	 0.285it/s	 time: 1:04:25~18:26:47	 loss: 26.029>12.028	 lr: 0.00027975 ▲
[1200/20001]	 0.284it/s	 time: 1:10:20~18:21:53	 loss: 13.719>11.486	 lr: 0.00030425 ▲
[1300/20001]	 0.284it/s	 time: 1:16:15~18:16:49	 loss: 14.104>11.203	 lr: 0.00032875 ▲
[1400/20001]	 0.284it/s	 time: 1:22:11~18:11:51	 loss: 15.32>11.203	 lr: 0.00035324 ▲
[1500/20001]	 0.284it/s	 time: 1:28:00~18:05:19	 loss: 14.384>10.461	 lr: 0.00037774 ▲
[1600/20001]	 0.283it/s	 time: 1:34:08~18:02:32	 loss: 13.833>10.374	 lr: 0.00040224 ▲
[1700/20001]	 0.284it/s	 time: 1:39:56~17:55:45	 loss: 13.677>10.374	 lr: 0.00042675 ▲
[1800/20001]	 0.283it/s	 time: 1:46:01~17:51:56	 loss: 12.624>10.374	 lr: 0.00045125 ▲
[1900/20001]	 0.283it/s	 time: 1:51:57~17:46:28	 loss: 13.791>9.682	 lr: 0.00047574 ▲
[2000/20001]	 0.283it/s	 time: 1:57:40~17:39:00	 loss: 12.588>9.682	 lr: 0.00049976 ▲
[2100/20001]	 0.283it/s	 time: 2:03:29~17:32:32	 loss: 11.329>9.682	 lr: 0.00047526 ▼
[2200/20001]	 0.284it/s	 time: 2:09:12~17:25:20	 loss: 11.112>9.662	 lr: 0.00045075 ▼
[2300/20001]	 0.284it/s	 time: 2:14:58~17:18:39	 loss: 9.798>8.906	 lr: 0.00042625 ▼
[2400/20001]	 0.284it/s	 time: 2:20:42~17:11:47	 loss: 9.823>8.494	 lr: 0.00040176 ▼
[2500/20001]	 0.284it/s	 time: 2:26:48~17:07:35	 loss: 9.153>8.108	 lr: 0.00037726 ▼
[2600/20001]	 0.284it/s	 time: 2:32:32~17:00:47	 loss: 8.782>7.81	 lr: 0.00035276 ▼
[2700/20001]	 0.284it/s	 time: 2:38:14~16:53:51	 loss: 8.656>7.529	 lr: 0.00032825 ▼
[2800/20001]	 0.284it/s	 time: 2:44:04~16:47:50	 loss: 7.857>7.0	 lr: 0.00030375 ▼
[2900/20001]	 0.285it/s	 time: 2:49:52~16:41:37	 loss: 7.593>6.764	 lr: 0.00027926 ▼
[3000/20001]	 0.285it/s	 time: 2:55:41~16:35:32	 loss: 7.177>6.361	 lr: 0.00025476 ▼
[3100/20001]	 0.285it/s	 time: 3:01:28~16:29:17	 loss: 6.945>6.256	 lr: 0.00023026 ▼
[3200/20001]	 0.285it/s	 time: 3:06:51~16:20:57	 loss: 7.099>6.256	 lr: 0.00020575 ▼
[3300/20001]	 0.286it/s	 time: 3:12:16~16:12:59	 loss: 6.894>6.169	 lr: 0.00018125 ▼
[3400/20001]	 0.287it/s	 time: 3:17:38~16:04:54	 loss: 6.663>6.096	 lr: 0.00015676 ▼
[3500/20001]	 0.287it/s	 time: 3:23:00~15:57:00	 loss: 6.528>5.948	 lr: 0.00013226 ▼
[3600/20001]	 0.288it/s	 time: 3:28:24~15:49:22	 loss: 6.358>5.708	 lr: 0.00010776 ▼
[3700/20001]	 0.288it/s	 time: 3:33:53~15:42:14	 loss: 6.368>5.708	 lr: 8.325e-05 ▼
[3800/20001]	 0.289it/s	 time: 3:39:19~15:34:58	 loss: 6.284>5.708	 lr: 5.875e-05 ▼
[3900/20001]	 0.289it/s	 time: 3:44:59~15:28:46	 loss: 6.202>5.708	 lr: 3.426e-05 ▼
[4000/20001]	 0.289it/s	 time: 3:50:25~15:21:40	 loss: 6.066>5.593	 lr: 1.012e-05 ▼
model [cowboy16_quat_v1_cp4000] saved to _checkpoints...
[4100/20001]	 0.29it/s	 time: 3:55:49~15:14:30	 loss: 5.984>5.49	 lr: 2.237e-05 ▲
[4200/20001]	 0.29it/s	 time: 4:01:07~15:07:03	 loss: 6.061>5.49	 lr: 3.462e-05 ▲
[4300/20001]	 0.291it/s	 time: 4:06:36~15:00:22	 loss: 5.993>5.49	 lr: 4.687e-05 ▲
[4400/20001]	 0.291it/s	 time: 4:12:09~14:53:59	 loss: 6.034>5.467	 lr: 5.912e-05 ▲
[4500/20001]	 0.291it/s	 time: 4:17:32~14:47:03	 loss: 6.053>5.467	 lr: 7.137e-05 ▲
[4600/20001]	 0.291it/s	 time: 4:23:02~14:40:35	 loss: 6.02>5.456	 lr: 8.362e-05 ▲
[4700/20001]	 0.291it/s	 time: 4:29:21~14:36:49	 loss: 6.232>5.456	 lr: 9.587e-05 ▲
[4800/20001]	 0.291it/s	 time: 4:34:41~14:29:49	 loss: 6.055>5.451	 lr: 0.00010812 ▲
[4900/20001]	 0.291it/s	 time: 4:40:14~14:23:34	 loss: 5.931>5.451	 lr: 0.00012037 ▲
[5000/20001]	 0.292it/s	 time: 4:45:35~14:16:45	 loss: 6.063>5.451	 lr: 0.00013262 ▲
[5100/20001]	 0.292it/s	 time: 4:50:52~14:09:47	 loss: 6.14>5.451	 lr: 0.00014487 ▲
[5200/20001]	 0.293it/s	 time: 4:56:17~14:03:16	 loss: 5.982>5.44	 lr: 0.00015712 ▲
[5300/20001]	 0.293it/s	 time: 5:01:44~13:56:52	 loss: 6.098>5.44	 lr: 0.00016937 ▲
[5400/20001]	 0.293it/s	 time: 5:07:12~13:50:34	 loss: 6.007>5.357	 lr: 0.00018162 ▲
[5500/20001]	 0.293it/s	 time: 5:12:34~13:44:02	 loss: 5.993>5.325	 lr: 0.00019387 ▲
[5600/20001]	 0.293it/s	 time: 5:18:49~13:39:48	 loss: 6.041>5.325	 lr: 0.00020612 ▲
[5700/20001]	 0.293it/s	 time: 5:24:24~13:33:50	 loss: 6.062>5.325	 lr: 0.00021837 ▲
[5800/20001]	 0.293it/s	 time: 5:29:48~13:27:26	 loss: 6.11>5.318	 lr: 0.00023062 ▲
[5900/20001]	 0.293it/s	 time: 5:35:11~13:21:01	 loss: 6.163>5.193	 lr: 0.00024287 ▲
[6000/20001]	 0.294it/s	 time: 5:40:35~13:14:41	 loss: 6.011>5.182	 lr: 0.00025488 ▲
[6100/20001]	 0.294it/s	 time: 5:46:00~13:08:25	 loss: 5.958>5.101	 lr: 0.00024263 ▼
[6200/20001]	 0.294it/s	 time: 5:51:31~13:02:24	 loss: 5.851>4.979	 lr: 0.00023038 ▼
[6300/20001]	 0.294it/s	 time: 5:56:49~12:55:56	 loss: 5.688>4.979	 lr: 0.00021813 ▼
[6400/20001]	 0.294it/s	 time: 6:02:43~12:50:46	 loss: 5.647>4.907	 lr: 0.00020588 ▼
[6500/20001]	 0.294it/s	 time: 6:08:33~12:45:27	 loss: 5.601>4.836	 lr: 0.00019363 ▼
[6600/20001]	 0.294it/s	 time: 6:14:05~12:39:30	 loss: 5.417>4.695	 lr: 0.00018138 ▼
[6700/20001]	 0.294it/s	 time: 6:19:26~12:33:12	 loss: 5.47>4.695	 lr: 0.00016913 ▼
[6800/20001]	 0.294it/s	 time: 6:24:55~12:27:11	 loss: 5.291>4.695	 lr: 0.00015688 ▼
[6900/20001]	 0.295it/s	 time: 6:30:18~12:21:00	 loss: 5.527>4.695	 lr: 0.00014463 ▼
[7000/20001]	 0.295it/s	 time: 6:35:39~12:14:46	 loss: 5.285>4.695	 lr: 0.00013238 ▼
[7100/20001]	 0.295it/s	 time: 6:41:03~12:08:40	 loss: 5.31>4.629	 lr: 0.00012013 ▼
[7200/20001]	 0.295it/s	 time: 6:47:06~12:03:43	 loss: 5.18>4.537	 lr: 0.00010788 ▼
[7300/20001]	 0.295it/s	 time: 6:52:29~11:57:36	 loss: 5.131>4.46	 lr: 9.563e-05 ▼
[7400/20001]	 0.295it/s	 time: 6:57:53~11:51:31	 loss: 5.116>4.46	 lr: 8.338e-05 ▼
[7500/20001]	 0.295it/s	 time: 7:03:14~11:45:23	 loss: 5.025>4.402	 lr: 7.113e-05 ▼
[7600/20001]	 0.295it/s	 time: 7:08:41~11:39:25	 loss: 4.984>4.402	 lr: 5.888e-05 ▼
[7700/20001]	 0.296it/s	 time: 7:14:10~11:33:32	 loss: 4.924>4.284	 lr: 4.663e-05 ▼
[7800/20001]	 0.296it/s	 time: 7:19:31~11:27:26	 loss: 5.076>4.284	 lr: 3.438e-05 ▼
[7900/20001]	 0.295it/s	 time: 7:25:40~11:22:36	 loss: 4.863>4.271	 lr: 2.213e-05 ▼
[8000/20001]	 0.295it/s	 time: 7:31:32~11:17:18	 loss: 4.8>4.271	 lr: 1.006e-05 ▼
model [cowboy16_quat_v1_cp8000] saved to _checkpoints...
[8100/20001]	 0.295it/s	 time: 7:36:52~11:11:11	 loss: 4.807>4.218	 lr: 1.619e-05 ▲
[8200/20001]	 0.296it/s	 time: 7:42:16~11:05:12	 loss: 4.802>4.218	 lr: 2.231e-05 ▲
[8300/20001]	 0.296it/s	 time: 7:47:42~10:59:17	 loss: 4.872>4.218	 lr: 2.844e-05 ▲
[8400/20001]	 0.296it/s	 time: 7:53:10~10:53:25	 loss: 4.837>4.21	 lr: 3.456e-05 ▲
[8500/20001]	 0.296it/s	 time: 7:58:48~10:47:47	 loss: 4.896>4.21	 lr: 4.069e-05 ▲
[8600/20001]	 0.296it/s	 time: 8:04:38~10:42:25	 loss: 4.881>4.21	 lr: 4.681e-05 ▲
[8700/20001]	 0.296it/s	 time: 8:10:08~10:36:36	 loss: 4.848>4.21	 lr: 5.294e-05 ▲
[8800/20001]	 0.296it/s	 time: 8:15:35~10:30:44	 loss: 4.915>4.21	 lr: 5.906e-05 ▲
[8900/20001]	 0.296it/s	 time: 8:21:03~10:24:54	 loss: 5.02>4.21	 lr: 6.519e-05 ▲
[9000/20001]	 0.296it/s	 time: 8:26:28~10:19:00	 loss: 4.901>4.21	 lr: 7.131e-05 ▲
[9100/20001]	 0.296it/s	 time: 8:31:53~10:13:08	 loss: 4.931>4.21	 lr: 7.744e-05 ▲
[9200/20001]	 0.296it/s	 time: 8:37:39~10:07:40	 loss: 4.872>4.21	 lr: 8.356e-05 ▲
[9300/20001]	 0.296it/s	 time: 8:43:05~10:01:49	 loss: 4.958>4.21	 lr: 8.969e-05 ▲
[9400/20001]	 0.296it/s	 time: 8:48:31~9:55:59	 loss: 5.099>4.21	 lr: 9.581e-05 ▲
[9500/20001]	 0.297it/s	 time: 8:54:00~9:50:12	 loss: 4.942>4.21	 lr: 0.00010194 ▲
[9600/20001]	 0.297it/s	 time: 8:59:26~9:44:23	 loss: 4.896>4.21	 lr: 0.00010806 ▲
[9700/20001]	 0.296it/s	 time: 9:05:23~9:39:07	 loss: 4.832>4.21	 lr: 0.00011419 ▲
[9800/20001]	 0.297it/s	 time: 9:10:40~9:33:08	 loss: 4.913>4.21	 lr: 0.00012031 ▲
[9900/20001]	 0.297it/s	 time: 9:16:01~9:27:14	 loss: 4.906>4.21	 lr: 0.00012644 ▲
[10000/20001]	 0.297it/s	 time: 9:21:25~9:21:25	 loss: 4.934>4.21	 lr: 0.00013244 ▲
[10100/20001]	 0.297it/s	 time: 9:26:57~9:15:43	 loss: 4.979>4.21	 lr: 0.00012631 ▼
[10200/20001]	 0.297it/s	 time: 9:32:36~9:10:08	 loss: 4.93>4.21	 lr: 0.00012019 ▼
[10300/20001]	 0.297it/s	 time: 9:38:10~9:04:29	 loss: 4.785>4.198	 lr: 0.00011406 ▼
[10400/20001]	 0.297it/s	 time: 9:43:37~8:58:43	 loss: 4.755>4.154	 lr: 0.00010794 ▼
[10500/20001]	 0.297it/s	 time: 9:48:57~8:52:51	 loss: 4.762>4.154	 lr: 0.00010181 ▼
[10600/20001]	 0.297it/s	 time: 9:54:20~8:47:03	 loss: 4.756>4.154	 lr: 9.569e-05 ▼
[10700/20001]	 0.297it/s	 time: 10:00:28~8:41:54	 loss: 4.704>4.098	 lr: 8.956e-05 ▼
[10800/20001]	 0.297it/s	 time: 10:05:51~8:36:05	 loss: 4.675>4.056	 lr: 8.344e-05 ▼
[10900/20001]	 0.297it/s	 time: 10:11:23~8:30:25	 loss: 4.628>4.026	 lr: 7.731e-05 ▼
[11000/20001]	 0.297it/s	 time: 10:16:46~8:24:37	 loss: 4.661>4.026	 lr: 7.119e-05 ▼
[11100/20001]	 0.297it/s	 time: 10:22:10~8:18:51	 loss: 4.653>4.026	 lr: 6.506e-05 ▼
[11200/20001]	 0.297it/s	 time: 10:27:58~8:13:24	 loss: 4.584>3.921	 lr: 5.894e-05 ▼
[11300/20001]	 0.297it/s	 time: 10:33:26~8:07:41	 loss: 4.49>3.88	 lr: 5.281e-05 ▼
[11400/20001]	 0.297it/s	 time: 10:38:47~8:01:53	 loss: 4.61>3.861	 lr: 4.669e-05 ▼
[11500/20001]	 0.298it/s	 time: 10:44:13~7:56:09	 loss: 4.492>3.861	 lr: 4.056e-05 ▼
[11600/20001]	 0.298it/s	 time: 10:49:33~7:50:21	 loss: 4.435>3.861	 lr: 3.444e-05 ▼
[11700/20001]	 0.297it/s	 time: 10:55:41~7:45:08	 loss: 4.438>3.774	 lr: 2.831e-05 ▼
[11800/20001]	 0.298it/s	 time: 11:00:57~7:39:18	 loss: 4.569>3.774	 lr: 2.219e-05 ▼
[11900/20001]	 0.298it/s	 time: 11:06:21~7:33:33	 loss: 4.427>3.774	 lr: 1.606e-05 ▼
[12000/20001]	 0.298it/s	 time: 11:11:39~7:27:46	 loss: 4.46>3.774	 lr: 1.003e-05 ▼
model [cowboy16_quat_v1_cp12000] saved to _checkpoints...
[12100/20001]	 0.298it/s	 time: 11:17:00~7:22:00	 loss: 4.447>3.774	 lr: 1.309e-05 ▲
[12200/20001]	 0.298it/s	 time: 11:22:37~7:16:25	 loss: 4.338>3.774	 lr: 1.616e-05 ▲
[12300/20001]	 0.298it/s	 time: 11:28:31~7:11:01	 loss: 4.353>3.774	 lr: 1.922e-05 ▲
[12400/20001]	 0.298it/s	 time: 11:34:07~7:05:25	 loss: 4.414>3.774	 lr: 2.228e-05 ▲
[12500/20001]	 0.298it/s	 time: 11:39:24~6:59:38	 loss: 4.477>3.774	 lr: 2.534e-05 ▲
[12600/20001]	 0.298it/s	 time: 11:44:42~6:53:52	 loss: 4.415>3.774	 lr: 2.841e-05 ▲
