****************
timestamp: 2024-02-26 15:03:57.258555
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: rubiks_flatiso_v0
type: FLAT_ISO
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 3.125it/s	 time: 0:00:32~0:52:48	 loss: 14.239>1.077	 lr: 3.474e-05 ▲
[200/10001]	 3.077it/s	 time: 0:01:05~0:53:04	 loss: 1.267>1.023	 lr: 5.924e-05 ▲
[300/10001]	 3.061it/s	 time: 0:01:38~0:52:48	 loss: 1.059>0.971	 lr: 8.375e-05 ▲
[400/10001]	 3.077it/s	 time: 0:02:10~0:51:59	 loss: 1.117>0.945	 lr: 0.00010824 ▲
[500/10001]	 3.086it/s	 time: 0:02:42~0:51:18	 loss: 0.974>0.908	 lr: 0.00013275 ▲
[600/10001]	 3.077it/s	 time: 0:03:15~0:50:54	 loss: 0.936>0.879	 lr: 0.00015724 ▲
[700/10001]	 3.084it/s	 time: 0:03:47~0:50:15	 loss: 1.014>0.861	 lr: 0.00018174 ▲
[800/10001]	 3.089it/s	 time: 0:04:19~0:49:38	 loss: 1.0>0.86	 lr: 0.00020625 ▲
[900/10001]	 3.093it/s	 time: 0:04:51~0:49:02	 loss: 0.906>0.831	 lr: 0.00023074 ▲
[1000/10001]	 3.086it/s	 time: 0:05:24~0:48:36	 loss: 0.873>0.784	 lr: 0.00025524 ▲
[1100/10001]	 3.09it/s	 time: 0:05:56~0:48:00	 loss: 0.879>0.776	 lr: 0.00027975 ▲
[1200/10001]	 3.093it/s	 time: 0:06:28~0:47:25	 loss: 0.858>0.721	 lr: 0.00030425 ▲
[1300/10001]	 3.081it/s	 time: 0:07:02~0:47:04	 loss: 1.292>0.67	 lr: 0.00032875 ▲
[1400/10001]	 3.077it/s	 time: 0:07:35~0:46:34	 loss: 1.684>0.598	 lr: 0.00035324 ▲
[1500/10001]	 3.08it/s	 time: 0:08:07~0:45:59	 loss: 0.688>0.472	 lr: 0.00037774 ▲
[1600/10001]	 3.083it/s	 time: 0:08:39~0:45:24	 loss: 0.58>0.347	 lr: 0.00040224 ▲
[1700/10001]	 3.08it/s	 time: 0:09:12~0:44:55	 loss: 0.468>0.302	 lr: 0.00042675 ▲
[1800/10001]	 3.077it/s	 time: 0:09:45~0:44:24	 loss: 0.396>0.239	 lr: 0.00045125 ▲
[1900/10001]	 3.079it/s	 time: 0:10:17~0:43:50	 loss: 0.381>0.216	 lr: 0.00047574 ▲
[2000/10001]	 3.077it/s	 time: 0:10:50~0:43:19	 loss: 0.282>0.177	 lr: 0.00049976 ▲
[2100/10001]	 3.079it/s	 time: 0:11:22~0:42:45	 loss: 0.269>0.157	 lr: 0.00047526 ▼
[2200/10001]	 3.081it/s	 time: 0:11:54~0:42:11	 loss: 0.247>0.148	 lr: 0.00045075 ▼
[2300/10001]	 3.079it/s	 time: 0:12:27~0:41:40	 loss: 0.228>0.133	 lr: 0.00042625 ▼
[2400/10001]	 3.081it/s	 time: 0:12:59~0:41:06	 loss: 0.204>0.122	 lr: 0.00040176 ▼
[2500/10001]	 3.083it/s	 time: 0:13:31~0:40:32	 loss: 0.215>0.116	 lr: 0.00037726 ▼
[2600/10001]	 3.081it/s	 time: 0:14:04~0:40:02	 loss: 0.187>0.098	 lr: 0.00035276 ▼
[2700/10001]	 3.082it/s	 time: 0:14:36~0:39:28	 loss: 0.186>0.096	 lr: 0.00032825 ▼
[2800/10001]	 3.084it/s	 time: 0:15:08~0:38:54	 loss: 0.168>0.081	 lr: 0.00030375 ▼
[2900/10001]	 3.072it/s	 time: 0:15:44~0:38:31	 loss: 0.164>0.076	 lr: 0.00027926 ▼
[3000/10001]	 3.067it/s	 time: 0:16:18~0:38:02	 loss: 0.173>0.059	 lr: 0.00025476 ▼
[3100/10001]	 3.069it/s	 time: 0:16:50~0:37:28	 loss: 0.143>0.059	 lr: 0.00023026 ▼
[3200/10001]	 3.059it/s	 time: 0:17:26~0:37:02	 loss: 0.135>0.055	 lr: 0.00020575 ▼
[3300/10001]	 3.061it/s	 time: 0:17:58~0:36:28	 loss: 0.139>0.051	 lr: 0.00018125 ▼
[3400/10001]	 3.063it/s	 time: 0:18:30~0:35:54	 loss: 0.126>0.051	 lr: 0.00015676 ▼
[3500/10001]	 3.062it/s	 time: 0:19:03~0:35:22	 loss: 0.122>0.048	 lr: 0.00013226 ▼
[3600/10001]	 3.061it/s	 time: 0:19:36~0:34:50	 loss: 0.115>0.046	 lr: 0.00010776 ▼
[3700/10001]	 3.06it/s	 time: 0:20:09~0:34:18	 loss: 0.109>0.043	 lr: 8.325e-05 ▼
[3800/10001]	 3.062it/s	 time: 0:20:41~0:33:44	 loss: 0.111>0.041	 lr: 5.875e-05 ▼
[3900/10001]	 3.061it/s	 time: 0:21:14~0:33:12	 loss: 0.134>0.04	 lr: 3.426e-05 ▼
[4000/10001]	 3.06it/s	 time: 0:21:47~0:32:40	 loss: 0.103>0.039	 lr: 1.012e-05 ▼
[4100/10001]	 3.06it/s	 time: 0:22:20~0:32:08	 loss: 0.119>0.039	 lr: 2.237e-05 ▲
[4200/10001]	 3.057it/s	 time: 0:22:54~0:31:37	 loss: 0.108>0.038	 lr: 3.462e-05 ▲
[4300/10001]	 3.058it/s	 time: 0:23:26~0:31:03	 loss: 0.133>0.038	 lr: 4.687e-05 ▲
[4400/10001]	 3.06it/s	 time: 0:23:58~0:30:30	 loss: 0.143>0.038	 lr: 5.912e-05 ▲
[4500/10001]	 3.061it/s	 time: 0:24:30~0:29:56	 loss: 0.123>0.038	 lr: 7.137e-05 ▲
[4600/10001]	 3.061it/s	 time: 0:25:03~0:29:24	 loss: 0.103>0.038	 lr: 8.362e-05 ▲
[4700/10001]	 3.06it/s	 time: 0:25:36~0:28:52	 loss: 0.131>0.038	 lr: 9.587e-05 ▲
[4800/10001]	 3.059it/s	 time: 0:26:09~0:28:19	 loss: 0.087>0.038	 lr: 0.00010812 ▲
[4900/10001]	 3.061it/s	 time: 0:26:41~0:27:46	 loss: 0.122>0.038	 lr: 0.00012037 ▲
[5000/10001]	 3.062it/s	 time: 0:27:13~0:27:13	 loss: 0.125>0.038	 lr: 0.00013262 ▲
model [rubiks_flatiso_v0_cp5000] saved to _checkpoints...
[5100/10001]	 3.059it/s	 time: 0:27:47~0:26:41	 loss: 0.116>0.038	 lr: 0.00014487 ▲
[5200/10001]	 3.061it/s	 time: 0:28:19~0:26:08	 loss: 0.103>0.038	 lr: 0.00015712 ▲
[5300/10001]	 3.06it/s	 time: 0:28:52~0:25:35	 loss: 0.132>0.038	 lr: 0.00016937 ▲
[5400/10001]	 3.061it/s	 time: 0:29:24~0:25:02	 loss: 0.119>0.038	 lr: 0.00018162 ▲
[5500/10001]	 3.061it/s	 time: 0:29:57~0:24:30	 loss: 0.137>0.038	 lr: 0.00019387 ▲
[5600/10001]	 3.062it/s	 time: 0:30:29~0:23:57	 loss: 0.129>0.038	 lr: 0.00020612 ▲
[5700/10001]	 3.061it/s	 time: 0:31:02~0:23:24	 loss: 0.122>0.038	 lr: 0.00021837 ▲
[5800/10001]	 3.061it/s	 time: 0:31:35~0:22:52	 loss: 0.127>0.036	 lr: 0.00023062 ▲
[5900/10001]	 3.06it/s	 time: 0:32:08~0:22:19	 loss: 0.132>0.036	 lr: 0.00024287 ▲
[6000/10001]	 3.061it/s	 time: 0:32:40~0:21:46	 loss: 0.123>0.036	 lr: 0.00025488 ▲
[6100/10001]	 3.062it/s	 time: 0:33:12~0:21:13	 loss: 0.124>0.036	 lr: 0.00024263 ▼
[6200/10001]	 3.062it/s	 time: 0:33:45~0:20:41	 loss: 0.122>0.036	 lr: 0.00023038 ▼
[6300/10001]	 3.063it/s	 time: 0:34:17~0:20:08	 loss: 0.115>0.035	 lr: 0.00021813 ▼
[6400/10001]	 3.064it/s	 time: 0:34:49~0:19:35	 loss: 0.119>0.035	 lr: 0.00020588 ▼
[6500/10001]	 3.063it/s	 time: 0:35:22~0:19:02	 loss: 0.115>0.034	 lr: 0.00019363 ▼
[6600/10001]	 3.065it/s	 time: 0:35:53~0:18:29	 loss: 0.115>0.034	 lr: 0.00018138 ▼
[6700/10001]	 3.066it/s	 time: 0:36:25~0:17:56	 loss: 0.101>0.034	 lr: 0.00016913 ▼
[6800/10001]	 3.066it/s	 time: 0:36:58~0:17:23	 loss: 0.111>0.034	 lr: 0.00015688 ▼
[6900/10001]	 3.065it/s	 time: 0:37:31~0:16:51	 loss: 0.094>0.033	 lr: 0.00014463 ▼
[7000/10001]	 3.066it/s	 time: 0:38:03~0:16:18	 loss: 0.081>0.033	 lr: 0.00013238 ▼
[7100/10001]	 3.066it/s	 time: 0:38:36~0:15:45	 loss: 0.105>0.031	 lr: 0.00012013 ▼
[7200/10001]	 3.066it/s	 time: 0:39:08~0:15:13	 loss: 0.109>0.031	 lr: 0.00010788 ▼
[7300/10001]	 3.066it/s	 time: 0:39:41~0:14:40	 loss: 0.1>0.031	 lr: 9.563e-05 ▼
[7400/10001]	 3.067it/s	 time: 0:40:13~0:14:07	 loss: 0.105>0.031	 lr: 8.338e-05 ▼
[7500/10001]	 3.067it/s	 time: 0:40:45~0:13:35	 loss: 0.09>0.031	 lr: 7.113e-05 ▼
[7600/10001]	 3.067it/s	 time: 0:41:18~0:13:02	 loss: 0.13>0.029	 lr: 5.888e-05 ▼
[7700/10001]	 3.068it/s	 time: 0:41:50~0:12:29	 loss: 0.095>0.029	 lr: 4.663e-05 ▼
[7800/10001]	 3.064it/s	 time: 0:42:26~0:11:58	 loss: 0.084>0.029	 lr: 3.438e-05 ▼
[7900/10001]	 3.063it/s	 time: 0:42:59~0:11:25	 loss: 0.103>0.028	 lr: 2.213e-05 ▼
[8000/10001]	 3.063it/s	 time: 0:43:32~0:10:52	 loss: 0.1>0.028	 lr: 1.006e-05 ▼
[8100/10001]	 3.062it/s	 time: 0:44:05~0:10:20	 loss: 0.076>0.028	 lr: 1.619e-05 ▲
[8200/10001]	 3.061it/s	 time: 0:44:39~0:09:48	 loss: 0.075>0.028	 lr: 2.231e-05 ▲
[8300/10001]	 3.06it/s	 time: 0:45:12~0:09:15	 loss: 0.09>0.028	 lr: 2.844e-05 ▲
[8400/10001]	 3.06it/s	 time: 0:45:45~0:08:42	 loss: 0.106>0.028	 lr: 3.456e-05 ▲
[8500/10001]	 3.06it/s	 time: 0:46:18~0:08:10	 loss: 0.102>0.028	 lr: 4.069e-05 ▲
[8600/10001]	 3.059it/s	 time: 0:46:51~0:07:37	 loss: 0.096>0.028	 lr: 4.681e-05 ▲
[8700/10001]	 3.059it/s	 time: 0:47:24~0:07:04	 loss: 0.097>0.028	 lr: 5.294e-05 ▲
[8800/10001]	 3.061it/s	 time: 0:47:55~0:06:32	 loss: 0.1>0.028	 lr: 5.906e-05 ▲
[8900/10001]	 3.061it/s	 time: 0:48:28~0:05:59	 loss: 0.085>0.028	 lr: 6.519e-05 ▲
[9000/10001]	 3.061it/s	 time: 0:49:00~0:05:26	 loss: 0.085>0.028	 lr: 7.131e-05 ▲
[9100/10001]	 3.061it/s	 time: 0:49:33~0:04:54	 loss: 0.119>0.028	 lr: 7.744e-05 ▲
[9200/10001]	 3.061it/s	 time: 0:50:06~0:04:21	 loss: 0.097>0.028	 lr: 8.356e-05 ▲
[9300/10001]	 3.061it/s	 time: 0:50:38~0:03:48	 loss: 0.084>0.028	 lr: 8.969e-05 ▲
[9400/10001]	 3.061it/s	 time: 0:51:11~0:03:16	 loss: 0.125>0.028	 lr: 9.581e-05 ▲
[9500/10001]	 3.062it/s	 time: 0:51:43~0:02:43	 loss: 0.083>0.028	 lr: 0.00010194 ▲
[9600/10001]	 3.061it/s	 time: 0:52:16~0:02:10	 loss: 0.093>0.028	 lr: 0.00010806 ▲
[9700/10001]	 3.062it/s	 time: 0:52:48~0:01:37	 loss: 0.107>0.028	 lr: 0.00011419 ▲
[9800/10001]	 3.062it/s	 time: 0:53:21~0:01:05	 loss: 0.115>0.028	 lr: 0.00012031 ▲
[9900/10001]	 3.062it/s	 time: 0:53:53~0:00:32	 loss: 0.08>0.028	 lr: 0.00012644 ▲
[10000/10001]	 3.062it/s	 time: 0:54:26~0:00:00	 loss: 0.087>0.028	 lr: 0.00013244 ▲
model [rubiks_flatiso_v0_cp10000] saved to _checkpoints...
train time: 0:54:26
model [rubiks_flatiso_v0] saved to _models...
elapsed time: 0:54:32
****************
