****************
timestamp: 2024-02-26 22:11:21.935726
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v9
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.778it/s	 time: 0:00:36~0:59:24	 loss: 357.479>17.212	 lr: 3.474e-05 ▲
[200/10001]	 2.74it/s	 time: 0:01:13~0:59:37	 loss: 108.136>16.277	 lr: 5.924e-05 ▲
[300/10001]	 2.778it/s	 time: 0:01:48~0:58:12	 loss: 2894.648>15.222	 lr: 8.375e-05 ▲
[400/10001]	 2.797it/s	 time: 0:02:23~0:57:12	 loss: 437.74>15.222	 lr: 0.00010824 ▲
[500/10001]	 2.793it/s	 time: 0:02:59~0:56:41	 loss: 31.534>14.391	 lr: 0.00013275 ▲
[600/10001]	 2.791it/s	 time: 0:03:35~0:56:08	 loss: 238.422>14.111	 lr: 0.00015724 ▲
[700/10001]	 2.8it/s	 time: 0:04:10~0:55:21	 loss: 367.531>14.111	 lr: 0.00018174 ▲
[800/10001]	 2.807it/s	 time: 0:04:45~0:54:37	 loss: 16.122>13.317	 lr: 0.00020625 ▲
[900/10001]	 2.812it/s	 time: 0:05:20~0:53:55	 loss: 52.284>12.784	 lr: 0.00023074 ▲
[1000/10001]	 2.801it/s	 time: 0:05:57~0:53:33	 loss: 74.314>10.709	 lr: 0.00025524 ▲
[1100/10001]	 2.806it/s	 time: 0:06:32~0:52:51	 loss: 30.467>10.709	 lr: 0.00027975 ▲
[1200/10001]	 2.81it/s	 time: 0:07:07~0:52:11	 loss: 14.983>10.196	 lr: 0.00030425 ▲
[1300/10001]	 2.814it/s	 time: 0:07:42~0:51:31	 loss: 11.835>10.085	 lr: 0.00032875 ▲
[1400/10001]	 2.811it/s	 time: 0:08:18~0:50:59	 loss: 11.039>9.609	 lr: 0.00035324 ▲
[1500/10001]	 2.814it/s	 time: 0:08:53~0:50:20	 loss: 10.537>9.228	 lr: 0.00037774 ▲
[1600/10001]	 2.817it/s	 time: 0:09:28~0:49:42	 loss: 10.554>8.963	 lr: 0.00040224 ▲
[1700/10001]	 2.815it/s	 time: 0:10:04~0:49:08	 loss: 9.867>8.519	 lr: 0.00042675 ▲
[1800/10001]	 2.812it/s	 time: 0:10:40~0:48:35	 loss: 9.879>8.519	 lr: 0.00045125 ▲
[1900/10001]	 2.815it/s	 time: 0:11:15~0:47:57	 loss: 9.262>8.252	 lr: 0.00047574 ▲
[2000/10001]	 2.813it/s	 time: 0:11:51~0:47:24	 loss: 9.526>8.179	 lr: 0.00049976 ▲
[2100/10001]	 2.815it/s	 time: 0:12:26~0:46:46	 loss: 8.821>7.829	 lr: 0.00047526 ▼
[2200/10001]	 2.81it/s	 time: 0:13:03~0:46:16	 loss: 8.572>7.471	 lr: 0.00045075 ▼
[2300/10001]	 2.812it/s	 time: 0:13:38~0:45:38	 loss: 8.091>7.164	 lr: 0.00042625 ▼
[2400/10001]	 2.814it/s	 time: 0:14:13~0:45:01	 loss: 7.451>6.753	 lr: 0.00040176 ▼
[2500/10001]	 2.812it/s	 time: 0:14:49~0:44:27	 loss: 7.165>6.465	 lr: 0.00037726 ▼
[2600/10001]	 2.814it/s	 time: 0:15:24~0:43:49	 loss: 6.813>5.966	 lr: 0.00035276 ▼
[2700/10001]	 2.812it/s	 time: 0:16:00~0:43:15	 loss: 6.629>5.854	 lr: 0.00032825 ▼
[2800/10001]	 2.811it/s	 time: 0:16:36~0:42:41	 loss: 6.396>5.747	 lr: 0.00030375 ▼
[2900/10001]	 2.813it/s	 time: 0:17:11~0:42:04	 loss: 6.108>5.558	 lr: 0.00027926 ▼
[3000/10001]	 2.814it/s	 time: 0:17:46~0:41:27	 loss: 6.225>5.286	 lr: 0.00025476 ▼
[3100/10001]	 2.813it/s	 time: 0:18:22~0:40:52	 loss: 5.913>5.286	 lr: 0.00023026 ▼
[3200/10001]	 2.812it/s	 time: 0:18:58~0:40:18	 loss: 5.749>5.146	 lr: 0.00020575 ▼
[3300/10001]	 2.811it/s	 time: 0:19:34~0:39:43	 loss: 5.594>5.016	 lr: 0.00018125 ▼
[3400/10001]	 2.812it/s	 time: 0:20:09~0:39:06	 loss: 5.455>4.671	 lr: 0.00015676 ▼
[3500/10001]	 2.811it/s	 time: 0:20:45~0:38:32	 loss: 5.341>4.573	 lr: 0.00013226 ▼
[3600/10001]	 2.812it/s	 time: 0:21:20~0:37:55	 loss: 5.255>4.573	 lr: 0.00010776 ▼
[3700/10001]	 2.812it/s	 time: 0:21:56~0:37:20	 loss: 5.137>4.179	 lr: 8.325e-05 ▼
[3800/10001]	 2.813it/s	 time: 0:22:31~0:36:44	 loss: 5.071>4.179	 lr: 5.875e-05 ▼
[3900/10001]	 2.814it/s	 time: 0:23:06~0:36:07	 loss: 4.898>3.9	 lr: 3.426e-05 ▼
[4000/10001]	 2.815it/s	 time: 0:23:41~0:35:31	 loss: 4.705>3.687	 lr: 1.012e-05 ▼
[4100/10001]	 2.816it/s	 time: 0:24:16~0:34:55	 loss: 4.591>3.687	 lr: 2.237e-05 ▲
[4200/10001]	 2.815it/s	 time: 0:24:52~0:34:20	 loss: 4.772>3.687	 lr: 3.462e-05 ▲
[4300/10001]	 2.814it/s	 time: 0:25:28~0:33:45	 loss: 4.641>3.636	 lr: 4.687e-05 ▲
[4400/10001]	 2.812it/s	 time: 0:26:05~0:33:11	 loss: 4.696>3.507	 lr: 5.912e-05 ▲
[4500/10001]	 2.812it/s	 time: 0:26:40~0:32:35	 loss: 4.716>3.482	 lr: 7.137e-05 ▲
[4600/10001]	 2.81it/s	 time: 0:27:17~0:32:01	 loss: 4.501>3.482	 lr: 8.362e-05 ▲
[4700/10001]	 2.809it/s	 time: 0:27:53~0:31:26	 loss: 4.47>3.416	 lr: 9.587e-05 ▲
[4800/10001]	 2.81it/s	 time: 0:28:28~0:30:50	 loss: 4.372>3.298	 lr: 0.00010812 ▲
[4900/10001]	 2.81it/s	 time: 0:29:04~0:30:15	 loss: 4.246>3.197	 lr: 0.00012037 ▲
[5000/10001]	 2.807it/s	 time: 0:29:41~0:29:41	 loss: 4.15>3.195	 lr: 0.00013262 ▲
model [rubiks_iso3_v9_cp5000] saved to _checkpoints...
[5100/10001]	 2.808it/s	 time: 0:30:16~0:29:04	 loss: 4.21>3.074	 lr: 0.00014487 ▲
[5200/10001]	 2.808it/s	 time: 0:30:52~0:28:29	 loss: 4.253>3.074	 lr: 0.00015712 ▲
[5300/10001]	 2.807it/s	 time: 0:31:28~0:27:54	 loss: 4.305>2.969	 lr: 0.00016937 ▲
[5400/10001]	 2.808it/s	 time: 0:32:03~0:27:18	 loss: 4.137>2.905	 lr: 0.00018162 ▲
[5500/10001]	 2.809it/s	 time: 0:32:38~0:26:42	 loss: 4.103>2.706	 lr: 0.00019387 ▲
[5600/10001]	 2.808it/s	 time: 0:33:14~0:26:06	 loss: 4.136>2.706	 lr: 0.00020612 ▲
[5700/10001]	 2.809it/s	 time: 0:33:49~0:25:30	 loss: 3.864>2.634	 lr: 0.00021837 ▲
[5800/10001]	 2.807it/s	 time: 0:34:26~0:24:56	 loss: 4.077>2.634	 lr: 0.00023062 ▲
[5900/10001]	 2.808it/s	 time: 0:35:01~0:24:20	 loss: 3.818>2.606	 lr: 0.00024287 ▲
[6000/10001]	 2.808it/s	 time: 0:35:37~0:23:44	 loss: 3.968>2.606	 lr: 0.00025488 ▲
[6100/10001]	 2.807it/s	 time: 0:36:13~0:23:09	 loss: 4.049>2.606	 lr: 0.00024263 ▼
[6200/10001]	 2.807it/s	 time: 0:36:49~0:22:33	 loss: 3.961>2.606	 lr: 0.00023038 ▼
[6300/10001]	 2.807it/s	 time: 0:37:24~0:21:57	 loss: 3.785>2.606	 lr: 0.00021813 ▼
[6400/10001]	 2.808it/s	 time: 0:37:59~0:21:21	 loss: 3.47>2.363	 lr: 0.00020588 ▼
[6500/10001]	 2.808it/s	 time: 0:38:35~0:20:46	 loss: 3.847>2.363	 lr: 0.00019363 ▼
[6600/10001]	 2.809it/s	 time: 0:39:10~0:20:10	 loss: 3.327>2.341	 lr: 0.00018138 ▼
[6700/10001]	 2.808it/s	 time: 0:39:46~0:19:35	 loss: 3.778>2.341	 lr: 0.00016913 ▼
[6800/10001]	 2.808it/s	 time: 0:40:22~0:18:59	 loss: 3.336>2.214	 lr: 0.00015688 ▼
