****************
timestamp: 2023-12-12 19:44:29.156339
initializing training...
device: cuda
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v8
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 3.333it/s	 time: 0:00:30~0:59:30	 loss: 1653.354>21.007	 lr: 3.474e-05 ▲
[200/12001]	 3.333it/s	 time: 0:01:00~0:59:00	 loss: 856.357>16.721	 lr: 5.924e-05 ▲
[300/12001]	 3.297it/s	 time: 0:01:31~0:59:09	 loss: 1471.463>16.721	 lr: 8.375e-05 ▲
[400/12001]	 3.279it/s	 time: 0:02:02~0:58:58	 loss: 1079.624>16.462	 lr: 0.00010824 ▲
[500/12001]	 3.268it/s	 time: 0:02:33~0:58:39	 loss: 1184.103>15.123	 lr: 0.00013275 ▲
[600/12001]	 3.279it/s	 time: 0:03:03~0:57:57	 loss: 1016.651>15.123	 lr: 0.00015724 ▲
[700/12001]	 3.286it/s	 time: 0:03:33~0:57:18	 loss: 1357.233>15.123	 lr: 0.00018174 ▲
[800/12001]	 3.292it/s	 time: 0:04:03~0:56:41	 loss: 845.314>15.123	 lr: 0.00020625 ▲
[900/12001]	 3.285it/s	 time: 0:04:34~0:56:19	 loss: 1318.474>15.123	 lr: 0.00023074 ▲
[1000/12001]	 3.289it/s	 time: 0:05:04~0:55:44	 loss: 107.47>15.123	 lr: 0.00025524 ▲
model [cowboy16_iso2_v8_cp1000] saved to _checkpoints...
[1100/12001]	 3.284it/s	 time: 0:05:35~0:55:19	 loss: 78.747>13.976	 lr: 0.00027975 ▲
[1200/12001]	 3.288it/s	 time: 0:06:05~0:54:45	 loss: 2988.274>13.976	 lr: 0.00030425 ▲
[1300/12001]	 3.291it/s	 time: 0:06:35~0:54:11	 loss: 95.038>13.71	 lr: 0.00032875 ▲
[1400/12001]	 3.286it/s	 time: 0:07:06~0:53:45	 loss: 810.599>13.232	 lr: 0.00035324 ▲
[1500/12001]	 3.282it/s	 time: 0:07:37~0:53:18	 loss: 41.082>13.232	 lr: 0.00037774 ▲
[1600/12001]	 3.279it/s	 time: 0:08:08~0:52:52	 loss: 52.843>13.173	 lr: 0.00040224 ▲
[1700/12001]	 3.276it/s	 time: 0:08:39~0:52:24	 loss: 156.028>11.636	 lr: 0.00042675 ▲
[1800/12001]	 3.279it/s	 time: 0:09:09~0:51:51	 loss: 22.907>9.073	 lr: 0.00045125 ▲
[1900/12001]	 3.282it/s	 time: 0:09:39~0:51:17	 loss: 13.251>8.985	 lr: 0.00047574 ▲
[2000/12001]	 3.284it/s	 time: 0:10:09~0:50:45	 loss: 15.867>8.418	 lr: 0.00049976 ▲
model [cowboy16_iso2_v8_cp2000] saved to _checkpoints...
[2100/12001]	 3.286it/s	 time: 0:10:39~0:50:12	 loss: 9.69>7.551	 lr: 0.00047526 ▼
[2200/12001]	 3.279it/s	 time: 0:11:11~0:49:49	 loss: 8.833>7.047	 lr: 0.00045075 ▼
[2300/12001]	 3.276it/s	 time: 0:11:42~0:49:20	 loss: 7.982>6.661	 lr: 0.00042625 ▼
[2400/12001]	 3.274it/s	 time: 0:12:13~0:48:52	 loss: 10.711>5.746	 lr: 0.00040176 ▼
[2500/12001]	 3.264it/s	 time: 0:12:46~0:48:30	 loss: 6.972>5.746	 lr: 0.00037726 ▼
[2600/12001]	 3.258it/s	 time: 0:13:18~0:48:05	 loss: 6.337>5.03	 lr: 0.00035276 ▼
[2700/12001]	 3.261it/s	 time: 0:13:48~0:47:32	 loss: 5.857>4.781	 lr: 0.00032825 ▼
[2800/12001]	 3.26it/s	 time: 0:14:19~0:47:02	 loss: 5.799>4.676	 lr: 0.00030375 ▼
[2900/12001]	 3.262it/s	 time: 0:14:49~0:46:29	 loss: 5.281>4.271	 lr: 0.00027926 ▼
[3000/12001]	 3.261it/s	 time: 0:15:20~0:46:00	 loss: 5.027>4.018	 lr: 0.00025476 ▼
model [cowboy16_iso2_v8_cp3000] saved to _checkpoints...
[3100/12001]	 3.263it/s	 time: 0:15:50~0:45:27	 loss: 4.79>3.958	 lr: 0.00023026 ▼
[3200/12001]	 3.262it/s	 time: 0:16:21~0:44:57	 loss: 4.663>3.652	 lr: 0.00020575 ▼
[3300/12001]	 3.264it/s	 time: 0:16:51~0:44:25	 loss: 4.345>3.489	 lr: 0.00018125 ▼
[3400/12001]	 3.26it/s	 time: 0:17:23~0:43:58	 loss: 4.279>3.378	 lr: 0.00015676 ▼
[3500/12001]	 3.265it/s	 time: 0:17:52~0:43:23	 loss: 4.192>3.356	 lr: 0.00013226 ▼
[3600/12001]	 3.264it/s	 time: 0:18:23~0:42:53	 loss: 3.914>3.037	 lr: 0.00010776 ▼
[3700/12001]	 3.263it/s	 time: 0:18:54~0:42:23	 loss: 3.73>2.882	 lr: 8.325e-05 ▼
[3800/12001]	 3.262it/s	 time: 0:19:25~0:41:53	 loss: 3.656>2.863	 lr: 5.875e-05 ▼
[3900/12001]	 3.261it/s	 time: 0:19:56~0:41:24	 loss: 3.529>2.794	 lr: 3.426e-05 ▼
[4000/12001]	 3.26it/s	 time: 0:20:27~0:40:54	 loss: 3.391>2.689	 lr: 1.012e-05 ▼
model [cowboy16_iso2_v8_cp4000] saved to _checkpoints...
[4100/12001]	 3.259it/s	 time: 0:20:58~0:40:23	 loss: 3.354>2.667	 lr: 2.237e-05 ▲
[4200/12001]	 3.261it/s	 time: 0:21:28~0:39:52	 loss: 3.332>2.643	 lr: 3.462e-05 ▲
[4300/12001]	 3.26it/s	 time: 0:21:59~0:39:21	 loss: 3.35>2.643	 lr: 4.687e-05 ▲
[4400/12001]	 3.262it/s	 time: 0:22:29~0:38:50	 loss: 3.387>2.643	 lr: 5.912e-05 ▲
[4500/12001]	 3.259it/s	 time: 0:23:01~0:38:21	 loss: 3.361>2.643	 lr: 7.137e-05 ▲
[4600/12001]	 3.26it/s	 time: 0:23:31~0:37:49	 loss: 3.401>2.631	 lr: 8.362e-05 ▲
[4700/12001]	 3.259it/s	 time: 0:24:02~0:37:19	 loss: 3.343>2.631	 lr: 9.587e-05 ▲
[4800/12001]	 3.261it/s	 time: 0:24:32~0:36:48	 loss: 3.374>2.63	 lr: 0.00010812 ▲
[4900/12001]	 3.258it/s	 time: 0:25:04~0:36:19	 loss: 3.36>2.568	 lr: 0.00012037 ▲
[5000/12001]	 3.255it/s	 time: 0:25:36~0:35:50	 loss: 3.328>2.568	 lr: 0.00013262 ▲
model [cowboy16_iso2_v8_cp5000] saved to _checkpoints...
[5100/12001]	 3.255it/s	 time: 0:26:07~0:35:20	 loss: 3.587>2.568	 lr: 0.00014487 ▲
[5200/12001]	 3.256it/s	 time: 0:26:37~0:34:48	 loss: 3.339>2.568	 lr: 0.00015712 ▲
[5300/12001]	 3.256it/s	 time: 0:27:08~0:34:18	 loss: 3.327>2.568	 lr: 0.00016937 ▲
[5400/12001]	 3.257it/s	 time: 0:27:38~0:33:46	 loss: 3.308>2.568	 lr: 0.00018162 ▲
[5500/12001]	 3.256it/s	 time: 0:28:09~0:33:16	 loss: 3.305>2.496	 lr: 0.00019387 ▲
[5600/12001]	 3.256it/s	 time: 0:28:40~0:32:45	 loss: 3.309>2.496	 lr: 0.00020612 ▲
[5700/12001]	 3.255it/s	 time: 0:29:11~0:32:15	 loss: 3.201>2.495	 lr: 0.00021837 ▲
[5800/12001]	 3.255it/s	 time: 0:29:42~0:31:44	 loss: 3.297>2.495	 lr: 0.00023062 ▲
[5900/12001]	 3.256it/s	 time: 0:30:12~0:31:13	 loss: 3.27>2.362	 lr: 0.00024287 ▲
[6000/12001]	 3.257it/s	 time: 0:30:42~0:30:42	 loss: 3.183>2.362	 lr: 0.00025488 ▲
model [cowboy16_iso2_v8_cp6000] saved to _checkpoints...
[6100/12001]	 3.257it/s	 time: 0:31:13~0:30:11	 loss: 3.311>2.362	 lr: 0.00024263 ▼
[6200/12001]	 3.253it/s	 time: 0:31:46~0:29:43	 loss: 3.135>2.258	 lr: 0.00023038 ▼
[6300/12001]	 3.252it/s	 time: 0:32:17~0:29:12	 loss: 2.997>2.258	 lr: 0.00021813 ▼
[6400/12001]	 3.254it/s	 time: 0:32:47~0:28:41	 loss: 3.074>2.258	 lr: 0.00020588 ▼
[6500/12001]	 3.255it/s	 time: 0:33:17~0:28:09	 loss: 2.948>2.196	 lr: 0.00019363 ▼
[6600/12001]	 3.254it/s	 time: 0:33:48~0:27:39	 loss: 2.813>1.951	 lr: 0.00018138 ▼
[6700/12001]	 3.256it/s	 time: 0:34:18~0:27:07	 loss: 2.989>1.951	 lr: 0.00016913 ▼
[6800/12001]	 3.257it/s	 time: 0:34:48~0:26:36	 loss: 2.658>1.951	 lr: 0.00015688 ▼
[6900/12001]	 3.258it/s	 time: 0:35:18~0:26:05	 loss: 2.622>1.947	 lr: 0.00014463 ▼
[7000/12001]	 3.257it/s	 time: 0:35:49~0:25:35	 loss: 2.573>1.92	 lr: 0.00013238 ▼
model [cowboy16_iso2_v8_cp7000] saved to _checkpoints...
[7100/12001]	 3.258it/s	 time: 0:36:19~0:25:03	 loss: 2.474>1.832	 lr: 0.00012013 ▼
[7200/12001]	 3.259it/s	 time: 0:36:49~0:24:32	 loss: 2.477>1.777	 lr: 0.00010788 ▼
[7300/12001]	 3.259it/s	 time: 0:37:20~0:24:02	 loss: 2.435>1.777	 lr: 9.563e-05 ▼
[7400/12001]	 3.258it/s	 time: 0:37:51~0:23:31	 loss: 2.293>1.773	 lr: 8.338e-05 ▼
[7500/12001]	 3.258it/s	 time: 0:38:22~0:23:01	 loss: 2.268>1.718	 lr: 7.113e-05 ▼
[7600/12001]	 3.258it/s	 time: 0:38:53~0:22:30	 loss: 2.242>1.664	 lr: 5.888e-05 ▼
[7700/12001]	 3.259it/s	 time: 0:39:23~0:21:59	 loss: 2.199>1.632	 lr: 4.663e-05 ▼
[7800/12001]	 3.258it/s	 time: 0:39:54~0:21:29	 loss: 2.135>1.592	 lr: 3.438e-05 ▼
[7900/12001]	 3.259it/s	 time: 0:40:24~0:20:58	 loss: 2.103>1.589	 lr: 2.213e-05 ▼
[8000/12001]	 3.259it/s	 time: 0:40:55~0:20:27	 loss: 2.073>1.567	 lr: 1.006e-05 ▼
model [cowboy16_iso2_v8_cp8000] saved to _checkpoints...
[8100/12001]	 3.258it/s	 time: 0:41:26~0:19:56	 loss: 2.053>1.567	 lr: 1.619e-05 ▲
[8200/12001]	 3.258it/s	 time: 0:41:57~0:19:26	 loss: 2.098>1.535	 lr: 2.231e-05 ▲
[8300/12001]	 3.257it/s	 time: 0:42:28~0:18:55	 loss: 2.072>1.535	 lr: 2.844e-05 ▲
[8400/12001]	 3.257it/s	 time: 0:42:59~0:18:25	 loss: 2.049>1.535	 lr: 3.456e-05 ▲
[8500/12001]	 3.257it/s	 time: 0:43:30~0:17:54	 loss: 2.053>1.535	 lr: 4.069e-05 ▲
[8600/12001]	 3.258it/s	 time: 0:44:00~0:17:23	 loss: 2.097>1.535	 lr: 4.681e-05 ▲
[8700/12001]	 3.254it/s	 time: 0:44:34~0:16:54	 loss: 2.057>1.535	 lr: 5.294e-05 ▲
